2025-06-15 20:07:52,935 - INFO - [ingest_news] [ACCEPTED] ingest-test-1 | manual-ingest | Test Ingested Item 1
2025-06-15 20:07:57,566 - INFO - [zero_shot_it_relevance_filter] [ACCEPTED] rel-006 | company-intranet | Production File-Share Corrupted After Power Failure
2025-06-15 20:07:57,819 - INFO - [zero_shot_it_relevance_filter] [ACCEPTED] rel-007 | kubernetes-dev | K8s 1.32 Deprecates Dockershim and Removes Beta APIs
2025-06-15 20:07:58,063 - INFO - [zero_shot_it_relevance_filter] [ACCEPTED] rel-008 | cloudflare-status | Global 502 Errors When Accessing Workers KV
2025-06-15 20:07:58,305 - INFO - [zero_shot_it_relevance_filter] [ACCEPTED] rel-009 | oracle-critical-patch-update | Oracle Java CPU – 8 Critical CVEs Fixed
2025-06-15 20:07:58,550 - INFO - [zero_shot_it_relevance_filter] [ACCEPTED] rel-010 | status.gcp.google.com | BigQuery Job Failures in us-central1
2025-06-15 20:07:58,797 - INFO - [zero_shot_it_relevance_filter] [REFUSED] Just hit 10 Gbit on my new fiber—AMA! | max_score=0.00 | label=Vulnerability (critical and urgent for a IT manager of a company)
2025-06-15 20:07:59,034 - INFO - [zero_shot_it_relevance_filter] [REFUSED] Startup raises $12 M to reinvent e-ink whiteboards | max_score=0.01 | label=Malfunction/Issue (critical and urgent for a IT manager of a company)
2025-06-15 20:07:59,277 - INFO - [zero_shot_it_relevance_filter] [REFUSED] SpaceQuest IV Remaster Launches Next Week | max_score=0.00 | label=Vulnerability (critical and urgent for a IT manager of a company)
2025-06-15 20:07:59,518 - INFO - [zero_shot_it_relevance_filter] [REFUSED] Why my smart fridge keeps singing at 3 AM | max_score=0.00 | label=Malfunction/Issue (critical and urgent for a IT manager of a company)
2025-06-15 20:07:59,748 - INFO - [zero_shot_it_relevance_filter] [REFUSED] Top 5 mechanical keyboards of 2025 | max_score=0.01 | label=Malfunction/Issue (critical and urgent for a IT manager of a company)
2025-06-15 20:07:59,988 - INFO - [zero_shot_it_relevance_filter] [REFUSED] When you deploy on Friday and Jenkins says ‘Good luck’ 😅 | max_score=0.07 | label=Major Bug (critical and urgent for a IT manager of a company)
2025-06-15 20:08:00,232 - INFO - [zero_shot_it_relevance_filter] [REFUSED] Why serverless will replace all servers (eventually) | max_score=0.00 | label=Performance Degradation (critical and urgent for a IT manager of a company)
2025-06-15 20:08:00,475 - INFO - [zero_shot_it_relevance_filter] [REFUSED] Review: The new AeroPress Flow Control Filter Cap | max_score=0.00 | label=Malfunction/Issue (critical and urgent for a IT manager of a company)
2025-06-15 20:08:00,717 - INFO - [zero_shot_it_relevance_filter] [REFUSED] Frontend Dev Meetup – Basel, 25 June | max_score=0.00 | label=Malfunction/Issue (critical and urgent for a IT manager of a company)
2025-06-15 20:08:00,958 - INFO - [zero_shot_it_relevance_filter] [REFUSED] My cat just walked across the keyboard and committed to prod 🐱‍💻 | max_score=0.02 | label=Vulnerability (critical and urgent for a IT manager of a company)
2025-06-15 20:08:01,226 - INFO - [zero_shot_it_relevance_filter] [ACCEPTED] rel-001 | status.aws.amazon.com | EU-West-1 EC2 Outage – Instances Unreachable
2025-06-15 20:08:01,482 - INFO - [zero_shot_it_relevance_filter] [ACCEPTED] rel-002 | securityweek | Zero-day Exploit in OpenSSH Enables Root Access
2025-06-15 20:08:01,736 - INFO - [zero_shot_it_relevance_filter] [ACCEPTED] rel-003 | postgresql-announce | PostgreSQL 16.2 Data Corruption Bug Under Heavy Write Load
2025-06-15 20:08:01,981 - INFO - [zero_shot_it_relevance_filter] [ACCEPTED] rel-004 | azure-status | Azure AD Authentication Latency Spikes
2025-06-15 20:08:02,229 - INFO - [zero_shot_it_relevance_filter] [ACCEPTED] rel-005 | apple-security-updates | macOS 15.1 Emergency Patch Fixes Kernel Remote Code Execution
2025-06-15 20:08:02,482 - INFO - [zero_shot_it_relevance_filter] [ACCEPTED] rel-006 | company-intranet | Production File-Share Corrupted After Power Failure
2025-06-15 20:08:02,734 - INFO - [zero_shot_it_relevance_filter] [ACCEPTED] rel-007 | kubernetes-dev | K8s 1.32 Deprecates Dockershim and Removes Beta APIs
2025-06-15 20:08:02,978 - INFO - [zero_shot_it_relevance_filter] [ACCEPTED] rel-008 | cloudflare-status | Global 502 Errors When Accessing Workers KV
2025-06-15 20:08:03,219 - INFO - [zero_shot_it_relevance_filter] [ACCEPTED] rel-009 | oracle-critical-patch-update | Oracle Java CPU – 8 Critical CVEs Fixed
2025-06-15 20:08:03,465 - INFO - [zero_shot_it_relevance_filter] [ACCEPTED] rel-010 | status.gcp.google.com | BigQuery Job Failures in us-central1
2025-06-15 20:08:03,712 - INFO - [zero_shot_it_relevance_filter] [REFUSED] Just hit 10 Gbit on my new fiber—AMA! | max_score=0.00 | label=Vulnerability (critical and urgent for a IT manager of a company)
2025-06-15 20:08:03,949 - INFO - [zero_shot_it_relevance_filter] [REFUSED] Startup raises $12 M to reinvent e-ink whiteboards | max_score=0.01 | label=Malfunction/Issue (critical and urgent for a IT manager of a company)
2025-06-15 20:08:04,192 - INFO - [zero_shot_it_relevance_filter] [REFUSED] SpaceQuest IV Remaster Launches Next Week | max_score=0.00 | label=Vulnerability (critical and urgent for a IT manager of a company)
2025-06-15 20:08:04,434 - INFO - [zero_shot_it_relevance_filter] [REFUSED] Why my smart fridge keeps singing at 3 AM | max_score=0.00 | label=Malfunction/Issue (critical and urgent for a IT manager of a company)
2025-06-15 20:08:04,662 - INFO - [zero_shot_it_relevance_filter] [REFUSED] Top 5 mechanical keyboards of 2025 | max_score=0.01 | label=Malfunction/Issue (critical and urgent for a IT manager of a company)
2025-06-15 20:08:04,901 - INFO - [zero_shot_it_relevance_filter] [REFUSED] When you deploy on Friday and Jenkins says ‘Good luck’ 😅 | max_score=0.07 | label=Major Bug (critical and urgent for a IT manager of a company)
2025-06-15 20:08:05,145 - INFO - [zero_shot_it_relevance_filter] [REFUSED] Why serverless will replace all servers (eventually) | max_score=0.00 | label=Performance Degradation (critical and urgent for a IT manager of a company)
2025-06-15 20:08:05,388 - INFO - [zero_shot_it_relevance_filter] [REFUSED] Review: The new AeroPress Flow Control Filter Cap | max_score=0.00 | label=Malfunction/Issue (critical and urgent for a IT manager of a company)
2025-06-15 20:08:05,631 - INFO - [zero_shot_it_relevance_filter] [REFUSED] Frontend Dev Meetup – Basel, 25 June | max_score=0.00 | label=Malfunction/Issue (critical and urgent for a IT manager of a company)
2025-06-15 20:08:05,873 - INFO - [zero_shot_it_relevance_filter] [REFUSED] My cat just walked across the keyboard and committed to prod 🐱‍💻 | max_score=0.02 | label=Vulnerability (critical and urgent for a IT manager of a company)
